document_id,overall_baseline,overall_candidate,overall_delta,nid_baseline,nid_candidate,nid_delta,teds_baseline,teds_candidate,teds_delta,mhs_baseline,mhs_candidate,mhs_delta
01030000000039,0.7226400178733645,0.7226400178733645,0.0,0.6893106893106892,0.6893106893106892,0.0,,,,0.7559693464360397,0.7559693464360397,0.0
01030000000040,0.9932486100079428,0.9932486100079428,0.0,0.9932486100079428,0.9932486100079428,0.0,,,,,,
01030000000041,0.9565390749601277,0.9565390749601277,0.0,0.9565390749601277,0.9565390749601277,0.0,,,,,,
01030000000042,0.9878484631879914,0.9878484631879914,0.0,0.9878484631879914,0.9878484631879914,0.0,,,,,,
01030000000043,0.8155747260433668,0.8155747260433668,0.0,0.8155747260433668,0.8155747260433668,0.0,,,,,,
01030000000044,0.7581906145819572,0.7581906145819572,0.0,0.6796338672768879,0.6796338672768879,0.0,,,,0.8367473618870267,0.8367473618870267,0.0
01030000000045,0.8293918918918919,0.8293918918918919,0.0,0.875,0.875,0.0,0.7837837837837838,0.7837837837837838,0.0,,,
01030000000046,0.731501511841767,0.731501511841767,0.0,0.7938780548012836,0.7938780548012836,0.0,0.6691249688822505,0.6691249688822505,0.0,,,
01030000000047,0.6794923200296095,0.6794923200296095,0.0,0.7427055702917772,0.7427055702917772,0.0,0.6162790697674418,0.6162790697674418,0.0,,,
01030000000048,0.9972389927000597,0.9972389927000597,0.0,0.9955649419218585,0.9955649419218585,0.0,,,,0.9989130434782608,0.9989130434782608,0.0
01030000000049,0.9904153354632588,0.9904153354632588,0.0,0.9904153354632588,0.9904153354632588,0.0,,,,,,
01030000000050,0.9847653869591713,0.9847653869591713,0.0,0.9847653869591713,0.9847653869591713,0.0,,,,,,
01030000000051,0.9270868884645999,0.9270868884645999,0.0,0.9351669941060904,0.9351669941060904,0.0,0.8940355145250668,0.8940355145250668,0.0,0.9520581567626426,0.9520581567626426,0.0
01030000000052,0.884889308440618,0.884889308440618,0.0,0.9308755760368663,0.9308755760368663,0.0,0.8389030408443696,0.8389030408443696,0.0,,,
01030000000053,0.9327547638625329,0.9327547638625329,0.0,0.9442417926003127,0.9442417926003127,0.0,0.8969610540934254,0.8969610540934254,0.0,0.9570614448938606,0.9570614448938606,0.0
01030000000054,0.8969712321373174,0.8969712321373174,0.0,0.9974196575181797,0.9974196575181797,0.0,,,,0.7965228067564551,0.7965228067564551,0.0
01030000000055,0.9501862197392924,0.9501862197392924,0.0,0.9501862197392924,0.9501862197392924,0.0,,,,,,
01030000000056,0.893735130848533,0.893735130848533,0.0,0.893735130848533,0.893735130848533,0.0,,,,,,
01030000000057,0.9223826714801444,0.9223826714801444,0.0,0.9223826714801444,0.9223826714801444,0.0,,,,,,
01030000000058,0.9311260443746833,0.9311260443746833,0.0,0.9151256519677573,0.9151256519677573,0.0,,,,0.9471264367816092,0.9471264367816092,0.0
01030000000059,0.7373447946513849,0.7373447946513849,0.0,0.7373447946513849,0.7373447946513849,0.0,,,,,,
01030000000060,0.8576131687242798,0.8576131687242798,0.0,0.8576131687242798,0.8576131687242798,0.0,,,,,,
01030000000061,0.9298515104966718,0.9298515104966718,0.0,0.9298515104966718,0.9298515104966718,0.0,,,,,,
01030000000062,0.9935654456617402,0.9935654456617402,0.0,0.9921686746987952,0.9921686746987952,0.0,,,,0.9949622166246851,0.9949622166246851,0.0
01030000000063,0.9689119170984456,0.9689119170984456,0.0,0.9689119170984456,0.9689119170984456,0.0,,,,,,
01030000000064,0.9313156742556918,0.9313156742556918,0.0,0.9251313485113836,0.9251313485113836,0.0,0.9375,0.9375,0.0,,,
01030000000065,0.9931522714629357,0.9931522714629357,0.0,0.9910913140311804,0.9910913140311804,0.0,,,,0.995213228894691,0.995213228894691,0.0
01030000000066,0.9618247298919568,0.9618247298919568,0.0,0.9618247298919568,0.9618247298919568,0.0,,,,,,
01030000000067,0.9771805665033162,0.9771805665033162,0.0,0.9745186862967158,0.9745186862967158,0.0,,,,0.9798424467099166,0.9798424467099166,0.0
01030000000068,0.9847715736040609,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609,0.0,,,,,,
01030000000069,0.6084442288283727,0.6084442288283727,0.0,0.9872734284612418,0.9872734284612418,0.0,,,,0.2296150291955037,0.2296150291955037,0.0
01030000000070,0.8066852367688022,0.8066852367688022,0.0,0.8066852367688022,0.8066852367688022,0.0,,,,,,
01030000000071,0.8612999170517834,0.8612999170517834,0.0,0.8132183908045977,0.8132183908045977,0.0,,,,0.9093814432989691,0.9093814432989691,0.0
01030000000072,0.5581929555895866,0.5581929555895866,0.0,0.5581929555895866,0.5581929555895866,0.0,,,,,,
01030000000073,0.813632441760138,0.813632441760138,0.0,0.813632441760138,0.813632441760138,0.0,,,,,,
01030000000074,0.8828671328671329,0.8828671328671329,0.0,0.8828671328671329,0.8828671328671329,0.0,,,,,,
01030000000075,0.9929478138222849,0.9929478138222849,0.0,0.9929478138222849,0.9929478138222849,0.0,,,,,,
01030000000076,0.48816029143898,0.48816029143898,0.0,0.48816029143898,0.48816029143898,0.0,,,,,,
01030000000077,0.6734741715683419,0.6734741715683419,0.0,0.8255197717081125,0.8255197717081125,0.0,,,,0.5214285714285714,0.5214285714285714,0.0
