document_id,base_overall,new_overall,delta,base_nid,new_nid,base_teds,new_teds,base_mhs,new_mhs
01030000000118,0.6221272712,0.6221272712,0.0000000000,0.8355795148,0.8355795148,,,0.4086750277,0.4086750277
01030000000119,0.8800275928,0.8806437182,0.0006161253,0.9494491251,0.9506813757,0.8106060606,0.8106060606,,
01030000000120,0.9497729852,0.9502840909,0.0005111057,0.8995459705,0.9005681818,1.0000000000,1.0000000000,,
01030000000121,0.9016651112,0.9667767900,0.0651116788,0.9558577016,0.9563920984,0.9937888199,0.9937888199,0.7553488120,0.9501494516
01030000000122,0.5142669068,0.5575900164,0.0433231096,0.8049426302,0.8056537102,0.0000000000,0.0000000000,0.7378580902,0.8671163389
01030000000123,0.9026701683,0.9026701683,0.0000000000,0.8786982249,0.8786982249,,,0.9266421117,0.9266421117
01030000000124,0.8957609744,0.8957609744,0.0000000000,0.9232150876,0.9232150876,,,0.8683068613,0.8683068613
01030000000125,0.9993256912,0.9993256912,0.0000000000,0.9993256912,0.9993256912,,,,
01030000000126,0.8627543065,0.8627543065,0.0000000000,0.8973091708,0.8973091708,,,0.8281994421,0.8281994421
01030000000127,0.6989237633,0.7515362438,0.0526124805,0.8248935858,0.8723221937,0.5729539407,0.6307502939,,
01030000000128,0.9337764648,0.9337764648,0.0000000000,0.8675529296,0.8675529296,1.0000000000,1.0000000000,,
01030000000129,0.9209457846,0.9211281071,0.0001823225,0.9209457846,0.9211281071,,,,
01030000000130,0.5804801693,0.6689680249,0.0884878556,0.7602417730,0.8022638840,0.4007185657,0.5356721659,,
01030000000131,0.8390745501,0.8403707518,0.0012962017,0.8390745501,0.8403707518,,,,
01030000000132,0.8828099409,0.8828099409,0.0000000000,0.8989532151,0.8989532151,0.8666666667,0.8666666667,,
01030000000133,0.9566223029,0.9566223029,0.0000000000,0.9536009998,0.9536009998,,,0.9596436059,0.9596436059
01030000000134,0.8014077426,0.8014077426,0.0000000000,0.8014077426,0.8014077426,,,,
01030000000135,0.9957736878,0.9957736878,0.0000000000,0.9957736878,0.9957736878,,,,
01030000000136,0.8313883300,0.8313883300,0.0000000000,0.8313883300,0.8313883300,,,,
01030000000137,0.9697222802,0.9697222802,0.0000000000,0.9697222802,0.9697222802,,,,
01030000000138,0.9948334224,0.9948334224,0.0000000000,0.9948334224,0.9948334224,,,,
01030000000139,0.9520692974,0.9520692974,0.0000000000,0.9520692974,0.9520692974,,,,
01030000000140,0.8567188788,0.8571428571,0.0004239783,0.8567188788,0.8571428571,,,,
01030000000141,0.0101180438,0.0101180438,0.0000000000,0.0202360877,0.0202360877,,,0.0000000000,0.0000000000
01030000000142,0.9766132715,0.9766132715,0.0000000000,0.9740795287,0.9740795287,,,0.9791470143,0.9791470143
01030000000143,0.9584487426,0.9584487426,0.0000000000,0.9733514880,0.9733514880,,,0.9435459972,0.9435459972
